"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary"
"1";56;"L_V1_ROI";1;-0,000139657740963066;-11,9477;-64,0341;-4,15323;"L";1,00501311603926;0,00633878897836926;1
"2";57;"L_V1_ROI";1;-0,000139049904396733;-12,0708;-64,0617;-4,92879;"L";1,00489860503171;0,00786251272367927;1
"3";58;"L_V1_ROI";1;-0,000138541785171914;-12,1863;-64,0593;-5,70137;"L";1,00477351408734;0,00703342801408197;1
"4";59;"L_V1_ROI";1;-0,000137937944365588;-12,3044;-64,0313;-6,47309;"L";1,00475522487429;0,000126958130649779;1
"5";60;"L_V1_ROI";2;-0,000137334710046106;-12,4357;-63,9827;-7,24553;"L";1,00473910621083;-0,00274508831359366;0
"6";61;"L_V1_ROI";1;-0,000136813783694169;-12,5908;-63,9186;-8,01942;"L";1,00473345357504;0,00101686408418193;1
"7";62;"L_V1_ROI";1;-0,000136243146375707;-12,7796;-63,8439;-8,79447;"L";1,00471483672357;0,00519838902268535;1
"8";63;"L_V1_ROI";1;-0,000135623002960963;-13,0105;-63,7627;-9,56938;"L";1,00470668371198;0,00518924324700009;1
"9";64;"L_V1_ROI";1;-0,000135034327818482;-13,2899;-63,6774;-10,342;"L";1,00470059521324;0,0058393703146975;1
"10";65;"L_V1_ROI";1;-0,000134297635719597;-13,6224;-63,5889;-11,1097;"L";1,00468634383434;0,00631326821587465;1
"11";396;"L_V1_ROI";1;-0,000133451505828585;-12,0793;-62,669;-5,59241;"L";1,00467558131124;0,00862650172103901;1
"12";414;"L_V1_ROI";1;-0,000132745274496352;-12,2331;-62,6575;-6,37783;"L";1,00467003754072;0,00712002638946548;1
"13";415;"L_V1_ROI";1;-0,000132021888391356;-12,3026;-61,2539;-7,04875;"L";1,00466691751955;0,00306343998762158;1
"14";432;"L_V1_ROI";1;-0,000131263786167044;-12,3929;-62,6239;-7,16247;"L";1,00465484950972;-0,000423665054450798;0
"15";433;"L_V1_ROI";2;-0,000130397071760958;-12,5062;-61,2169;-7,84749;"L";1,00464283719732;-0,000836435072690188;0
"16";434;"L_V1_ROI";2;-0,000129408573351154;-12,6489;-59,8171;-8,52821;"L";1,0046396917521;-0,00203421317794647;0
"17";449;"L_V1_ROI";2;-0,000128317651606401;-12,5686;-62,5727;-7,94722;"L";1,00463240842827;-0,00360433510778255;0
"18";450;"L_V1_ROI";2;-0,000127269115089884;-12,7277;-61,1648;-8,6455;"L";1,00462040342023;-0,00344218168916028;0
"19";451;"L_V1_ROI";2;-0,000126194207219074;-12,917;-59,7651;-9,34019;"L";1,00461597997843;-0,00332229530103687;0
