"";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"1";"R_V1_ROI";3;-0,00280837999289795;11,5491;-83,1736;1,39964;"R";1,05531872084264;0,0291728310994192;1;302,596733123322;4
"2";"R_MST_ROI";3;-0,00274187836744596;54,083;-73,396;1,13441;"R";1,05239457454207;0,0677802526956163;1;390,54498287791;36
"3";"R_V6_ROI";3;-0,00265205160078403;12,9289;-82,7572;32,4649;"R";1,05093559074683;0,073143730142082;1;377,049682498474;6
"4";"R_V2_ROI";3;-0,00252588352963062;12,8295;-81,137;-6,04955;"R";1,05047758498638;0,0637997648140572;1;364,798172666575;0
"5";"R_V3_ROI";3;-0,0023742066726964;29,6284;-99,92;4,79977;"R";1,04959429952743;0,0783259640898375;1;361,938750834051;264
"6";"R_V4_ROI";3;-0,00217783876833446;36,3954;-91,4078;-12,1262;"R";1,04763267961177;0,0743025579130172;1;357,133217209071;12
"7";"R_V8_ROI";3;-0,00195081782529507;34,6923;-77,2024;-21,3038;"R";1,04705928051273;0,0540319216226291;1;356,654869940421;1
"8";"R_4_ROI";3;-0,00172865934505075;34,7148;-16,1394;72,2143;"R";1,04626706919362;0,0522380457417979;1;346,124234304647;3
"9";"R_3b_ROI";3;-0,00149931585296099;47,0606;-19,8243;63,1735;"R";1,04530262072506;0,0328997487026089;1;327,702711187898;1
"10";"R_FEF_ROI";3;-0,00126381596434859;46,0974;5,31453;60,5101;"R";1,04502546067553;0,0471042222990414;1;365,697110596632;10
"11";"R_PEF_ROI";3;-0,00103052597278854;54,9109;13,9545;41,9061;"R";1,04429072931691;0,0377260598838114;1;347,865624150966;47
"12";"R_55b_ROI";3;-0,000774942082892786;52,4298;9,08805;51,0785;"R";1,04342809917737;0,0442193703132843;1;312,002127154544;0
"13";"R_V3A_ROI";3;-0,000499724331450004;22,479;-94,5908;28,7691;"R";1,04317817860746;0,0848302050905534;1;369,888011948451;47
"14";"R_RSC_ROI";2;-0,000212504930431099;2,21983;-40,1476;25,7868;"R";1,0420784472425;-0,0201348696549655;0;289,730189737035;9
"15";"R_POS2_ROI";2;8,28472029791534e-05;10,999;-74,7364;41,2835;"R";1,04182987212229;-0,0183534365005404;0;302,892287824867;105
"16";"R_V7_ROI";3;0,000391600376375114;25,4456;-90,4326;36,4716;"R";1,04139039158452;0,0535220106060586;1;352,263080253615;1
"17";"R_IPS1_ROI";2;0,000702974587624391;26,989;-84,5792;44,4358;"R";1,04083046785824;-0,00994273289462594;0;299,646700786835;15
"18";"R_FFC_ROI";3;0,00101810006524183;43,6373;-59,4595;-26,8917;"R";1,04066734260755;0,0505770245263093;1;312,498075389508;1
"19";"R_V3B_ROI";3;0,00134669873048355;31,5046;-92,5847;29,0869;"R";1,03999604635214;0,03122296005273;1;346,893832649931;2
"20";"R_LO1_ROI";3;0,0016608631098199;43,994;-90,5506;2,57524;"R";1,03900274437996;0,0560256978803069;1;343,718773956882;1
"21";"R_LO2_ROI";3;0,00199324319208873;44,9571;-86,4624;-7,59191;"R";1,03874451451812;0,0671083487229565;1;328,612555462726;43
"22";"R_PIT_ROI";3;0,00232863061520677;41,5996;-84,8171;-14,6547;"R";1,03826459459096;0,0385756322340407;1;299,217088524843;0
"23";"R_MT_ROI";3;0,00267255845837988;51,2534;-79,687;3,98399;"R";1,03781629731751;0,075602386975373;1;354,903219184964;22
"24";"R_A1_ROI";3;0,00300310528823643;55,2521;-18,6583;3,62105;"R";1,0376075602543;0,0206855622866597;1;305,448045370637;3
"25";"R_PSL_ROI";3;0,00336021281678301;65,6807;-38,6014;25,111;"R";1,03726088047231;0,0663560740454432;1;371,572720424474;222
"26";"R_SFL_ROI";2;0,00368247912315907;11,0238;22,193;62,4761;"R";1,03651064828474;-0,0140109273948738;0;291,453082917313;64
"27";"R_PCV_ROI";2;0,00400713567587967;7,75372;-54,8835;54,3246;"R";1,03620778300489;-0,0411266498907757;0;310,328026352679;21
"28";"R_STV_ROI";3;0,00433626091448021;64,0803;-44,684;19,5865;"R";1,0356875445808;0,0692843151427967;1;378,460468968187;30
"29";"R_7Pm_ROI";2;0,00466119517834334;10,6503;-67,35;54,96;"R";1,03545051738154;-0,0172871601616855;0;319,200496213164;8
"30";"R_7m_ROI";2;0,00498770734808884;7,72306;-65,3151;40,6649;"R";1,03511829492753;-0,110734877704386;0;362,85931566886;152
"31";"R_POS1_ROI";2;0,00534268791019331;9,14058;-63,0612;15,0204;"R";1,03479861586133;-0,0889682659243707;0;366,257849080437;4
"32";"R_23d_ROI";2;0,00567259570340513;2,65298;-24,2441;38,5114;"R";1,03462169852113;-0,0254628732149628;0;310,561547680852;97
"33";"R_v23ab_ROI";2;0,00600873734110784;5,61358;-56,7698;22,358;"R";1,03432875158255;-0,0921012263971449;0;366,024460257022;17
"34";"R_d23ab_ROI";2;0,00635132276755961;3,19493;-42,0742;33,1706;"R";1,03414193374339;-0,0827355479608313;0;335,461386101116;10
"35";"R_31pv_ROI";2;0,00668989123804101;4,41187;-48,5085;35,1196;"R";1,03391192158877;-0,112173991507864;0;352,649661586145;393
"36";"R_5m_ROI";3;0,00703039900197283;8,76024;-35,3403;68,2431;"R";1,03369718549445;0,0414448396882922;1;344,735172904032;0
"37";"R_5mv_ROI";3;0,00736965502455759;8,22788;-39,1911;58,3342;"R";1,03353222719515;0,0569278379303683;1;343,579087358919;16
"38";"R_23c_ROI";3;0,00770687229757336;6,2486;-32,2964;48,2286;"R";1,03336543785707;0,0408190116954815;1;337,015713498632;10
"39";"R_5L_ROI";3;0,00805345617078517;13,0886;-44,8421;72,2361;"R";1,03271419061928;0,053591295681963;1;320,742460351568;9
"40";"R_24dd_ROI";3;0,0083833387142433;6,5378;-12,6916;57,9469;"R";1,03234522799435;0,0441804023782657;1;305,280726030099;4
"41";"R_24dv_ROI";3;0,0087215118493382;5,48169;2,11296;49,8577;"R";1,03168908370887;0,0608985431853624;1;298,880979999957;0
"42";"R_7AL_ROI";3;0,00905865101833879;20,4358;-51,6751;72,943;"R";1,03161681050919;0,0596104814935334;1;336,094099026851;1
"43";"R_SCEF_ROI";3;0,00938422592949595;7,49361;9,70639;60,5539;"R";1,03146977707284;0,0520738663567193;1;356,811532638271;8
"44";"R_6ma_ROI";3;0,00971520000405739;15,6085;10,2145;70,2812;"R";1,03099799156411;0,0530975223543867;1;344,559087601086;129
"45";"R_7Am_ROI";3;0,0100530176763832;12,5135;-58,8446;64,6355;"R";1,03068272112848;0,0472656244564925;1;348,075178629349;27
"46";"R_7PL_ROI";3;0,010388154482035;17,837;-71,7997;59,0052;"R";1,03025441989124;0,0548308144173393;1;371,543992795473;1
"47";"R_7PC_ROI";3;0,0107212832856769;32,7263;-51,6105;69,193;"R";1,03020313941089;0,0607091628834274;1;322,060377793196;17
"48";"R_LIPv_ROI";3;0,0110374914130509;31,6252;-64,1274;62,6232;"R";1,03007915931624;0,0845288332017614;1;375,000811539082;13
"49";"R_VIP_ROI";3;0,011359529278745;22,2529;-63,6514;66,5773;"R";1,02996754235256;0,0632056952279064;1;359,649210126731;11
"50";"R_MIP_ROI";3;0,0116804406843647;27,4885;-75,9801;54,2949;"R";1,02945601983525;0,0472145703409404;1;343,911122564498;2
"51";"R_1_ROI";3;0,0119981068768364;46,5537;-27,1185;65,2762;"R";1,0293460901845;0,0508783120877487;1;373,952871984007;5
"52";"R_2_ROI";3;0,0123252700529932;42,7766;-36,5621;65,4743;"R";1,02889484291315;0,0450214050229791;1;342,073539883719;2
"53";"R_3a_ROI";3;0,0126629952825688;45,1661;-16,8134;63,847;"R";1,0288223066283;0,038073073311847;1;349,882237688569;3
"54";"R_6d_ROI";3;0,0129895460625889;35,0095;-7,72449;71,1996;"R";1,02851645285339;0,0282110604888616;1;338,335194264623;4
"55";"R_6mp_ROI";3;0,0133343183558224;15,4173;-9,74476;74,6888;"R";1,02830866143436;0,0470404567538398;1;323,548701274492;5
"56";"R_6v_ROI";3;0,0136695414220722;61,2375;8,91548;30,2606;"R";1,02789615016391;0,0666487202940478;1;365,790475313331;10
"57";"R_p24pr_ROI";1;0,0140026280116606;2,9735;-0,140771;40,181;"R";1,02778971460689;0,00252676218975308;1;232,433290490538;0
"58";"R_33pr_ROI";2;0,0143368327842529;2,10513;12,5786;30,8917;"R";1,02752892851821;-0,00895117206447114;0;285,657379912426;2
"59";"R_a24pr_ROI";3;0,0146760574810608;3,53;19,6974;32,8651;"R";1,02735987727576;0,0149790421744034;1;291,122183689455;0
"60";"R_p32pr_ROI";3;0,0150159414574852;5,61277;20,9864;42,917;"R";1,02719164258021;0,0471231584256576;1;340,138588417858;245
"61";"R_a24_ROI";2;0,0153653402052615;5,34475;39,628;-0,222395;"R";1,02674175103307;-0,0402976138187072;0;282,250128501476;15
"62";"R_d32_ROI";2;0,0157185105716598;7,59332;45,6063;27,1128;"R";1,02655799491496;-0,0195310070744804;0;278,304993601328;275
"63";"R_8BM_ROI";2;0,0160661040198047;7,94204;33,6575;48,3305;"R";1,02634325186852;-0,0175517903550587;0;302,759895576677;59
"64";"R_p32_ROI";2;0,0164186480570592;8,20707;49,7414;-0,977086;"R";1,02603748309587;-0,0263568874199839;0;286,833656888823;20
"65";"R_10r_ROI";2;0,0167664210785522;9,35946;50,2808;-9,21838;"R";1,02559251150092;-0,0803349173542535;0;325,182243868379;26
"66";"R_47m_ROI";2;0,0171139174904259;33,6067;44,3736;-21,896;"R";1,02545151821365;-0,0423793297639938;0;317,893143315718;16
"67";"R_8Av_ROI";2;0,0174652919873523;41,6207;30,3134;52,7984;"R";1,02504866149474;-0,0921436076684057;0;356,977294174678;750
"68";"R_8Ad_ROI";2;0,0178082820100435;24,8163;41,2619;52,4932;"R";1,02491399566844;-0,0969911332153803;0;360,662132090343;95
