"";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"TimeBin";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"1";"R_V1_ROI";1;-0,0027945420373199;11,5491;-83,1736;1,39964;"R";"First";1,04570330417889;0,0334719044003636;1;333,014722621796;260
"2";"R_MST_ROI";1;-0,00269376876217094;54,083;-73,396;1,13441;"R";"First";1,0440301818195;0,0783356327750788;1;371,838770757076;0
"3";"R_V6_ROI";1;-0,00259183354563478;12,9289;-82,7572;32,4649;"R";"First";1,04371619307086;0,0888483781336281;1;392,731588567336;2
"4";"R_V2_ROI";1;-0,00245536671134062;12,8295;-81,137;-6,04955;"R";"First";1,04283015244351;0,0911517958155754;1;382,76096825227;86
"5";"R_V3_ROI";1;-0,00228141156891923;29,6284;-99,92;4,79977;"R";"First";1,04243969026698;0,10500888287725;1;362,366457907299;39
"6";"R_V4_ROI";1;-0,00208772986971372;36,3954;-91,4078;-12,1262;"R";"First";1,04153371860486;0,117647848586219;1;367,196018368581;12
"7";"R_V8_ROI";1;-0,00186954096108471;34,6923;-77,2024;-21,3038;"R";"First";1,04073095842752;0,114918796297421;1;369,654086986035;23
"8";"R_4_ROI";1;-0,00161836511493933;34,7148;-16,1394;72,2143;"R";"First";1,04057706025151;0,0668751524275246;1;379,477788900057;1
"9";"R_3b_ROI";1;-0,00134330961413502;47,0606;-19,8243;63,1735;"R";"First";1,04027754514309;0,0399382467555405;1;344,042415076247;48
"10";"R_FEF_ROI";2;-0,00104533265386259;46,0974;5,31453;60,5101;"R";"First";1,0395218516994;-0,00497505520906321;0;362,911884285639;15
"11";"R_PEF_ROI";3;-0,000745743438135654;54,9109;13,9545;41,9061;"R";"First";1,03943104235276;-0,0301199338971609;0;340,006451900083;25
"12";"R_55b_ROI";2;-0,000427537158857414;52,4298;9,08805;51,0785;"R";"First";1,03887503630859;-0,00765896769009742;0;317,340094108014;1
"13";"R_V3A_ROI";1;-8,74056347516614e-05;22,479;-94,5908;28,7691;"R";"First";1,03857948698285;0,120354175067188;1;386,297119638778;48
"14";"R_RSC_ROI";3;0,000271789774372201;2,21983;-40,1476;25,7868;"R";"First";1,03820187735713;-0,0289308594994747;0;288,843453490257;23
"15";"R_POS2_ROI";3;0,000608201434355718;10,999;-74,7364;41,2835;"R";"First";1,03775020075538;-0,0366209453070664;0;306,495795634081;17
"16";"R_V7_ROI";1;0,000952403109789379;25,4456;-90,4326;36,4716;"R";"First";1,03734925336706;0,105501165451431;1;401,111842454033;8
"17";"R_IPS1_ROI";1;0,0013552414072709;26,989;-84,5792;44,4358;"R";"First";1,03716108949675;0,0598930131140097;1;351,085554456588;7
"18";"R_FFC_ROI";1;0,00173047520777403;43,6373;-59,4595;-26,8917;"R";"First";1,03663957647249;0,0761367600192654;1;354,32674751142;18
"19";"R_V3B_ROI";1;0,00214584547653836;31,5046;-92,5847;29,0869;"R";"First";1,03651358287241;0,0923146073649593;1;368,704682147525;11
"20";"R_LO1_ROI";1;0,00249709443552099;43,994;-90,5506;2,57524;"R";"First";1,0357047244312;0,0983299686892641;1;356,12232922552;100
"21";"R_LO2_ROI";1;0,00288462358061758;44,9571;-86,4624;-7,59191;"R";"First";1,03550355528974;0,0915922743720238;1;364,738555812704;9
"22";"R_PIT_ROI";1;0,00328291777596719;41,5996;-84,8171;-14,6547;"R";"First";1,0353291004379;0,0839724006014597;1;373,949983087605;6
"23";"R_MT_ROI";1;0,00371360724765056;51,2534;-79,687;3,98399;"R";"First";1,03494374501694;0,091858859647281;1;368,612400610034;15
"24";"R_A1_ROI";1;0,00412091967155549;55,2521;-18,6583;3,62105;"R";"First";1,03447944779849;0,00510308735545248;1;299,311163284094;15
"25";"R_PSL_ROI";1;0,00451190644093128;65,6807;-38,6014;25,111;"R";"First";1,0340457346603;0,01250372029048;1;352,755258806858;57
"26";"R_SFL_ROI";3;0,00490498531658679;11,0238;22,193;62,4761;"R";"First";1,03398026956271;0,0187596587172575;1;334,577042610274;34
"27";"R_PCV_ROI";3;0,00530654630783205;7,75372;-54,8835;54,3246;"R";"First";1,03382613372554;-0,0554552929342798;0;338,819365268965;4
"28";"R_STV_ROI";1;0,0057016439826555;64,0803;-44,684;19,5865;"R";"First";1,03320437931963;1,87509610136086e-05;1;328,761170903711;0
"29";"R_7Pm_ROI";3;0,0061115957533643;10,6503;-67,35;54,96;"R";"First";1,03308121864899;-0,0861119773874956;0;334,40791055103;227
"30";"R_7m_ROI";3;0,00652544010120177;7,72306;-65,3151;40,6649;"R";"First";1,03264989790138;-0,060985646965445;0;334,518011328575;85
"31";"R_POS1_ROI";3;0,0069531766417443;9,14058;-63,0612;15,0204;"R";"First";1,03246697088096;-0,0428158623482185;0;341,85792345966;3
"32";"R_23d_ROI";3;0,00737180160747849;2,65298;-24,2441;38,5114;"R";"First";1,03214915432011;-0,0472501464035842;0;340,477505353506;22
"33";"R_v23ab_ROI";3;0,00777873699124554;5,61358;-56,7698;22,358;"R";"First";1,03176448366575;-0,0261387063580273;0;346,807202033691;328
"34";"R_d23ab_ROI";3;0,00819793519445537;3,19493;-42,0742;33,1706;"R";"First";1,03158456515817;-0,0475649642297946;0;338,772166473267;40
"35";"R_31pv_ROI";3;0,0086171303924215;4,41187;-48,5085;35,1196;"R";"First";1,03148711770816;-0,0529001443404919;0;307,914288443542;13
"36";"R_5m_ROI";1;0,00905766755322786;8,76024;-35,3403;68,2431;"R";"First";1,03110575127212;0,0491597861034471;1;348,253068070906;13
"37";"R_5mv_ROI";1;0,00950458663302176;8,22788;-39,1911;58,3342;"R";"First";1,03087503991389;0,0707195831382985;1;380,085121787502;103
"38";"R_23c_ROI";1;0,00995869013395882;6,2486;-32,2964;48,2286;"R";"First";1,03071162933301;0,0218140685360275;1;374,894598790894;144
"39";"R_5L_ROI";1;0,010426430481122;13,0886;-44,8421;72,2361;"R";"First";1,03046781774631;0,0397870964264864;1;350,041867967675;21
"40";"R_24dd_ROI";1;0,0108615250839621;6,5378;-12,6916;57,9469;"R";"First";1,03040181798753;0,0462425071216107;1;333,827106815755;2
"41";"R_24dv_ROI";1;0,0112959848540874;5,48169;2,11296;49,8577;"R";"First";1,03004464220147;0,0438572525264249;1;336,251342651734;7
"42";"R_7AL_ROI";1;0,0117292104531691;20,4358;-51,6751;72,943;"R";"First";1,02977441381029;0,0302649025380424;1;349,600860863723;13
"43";"R_SCEF_ROI";1;0,0121835519713487;7,49361;9,70639;60,5539;"R";"First";1,02969174090647;0,00200522878963005;1;359,80437270575;50
"44";"R_6ma_ROI";2;0,0126057062991357;15,6085;10,2145;70,2812;"R";"First";1,02955333299137;-0,0344839154927047;0;303,961317979989;50
