"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"TimeBin";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"1";10101;"L_7m_ROI";1;-0,000436534858409581;-5,50805;-60,904;30,594;"L";"First";1,01047713308814;0,00403205085480592;1;2505,83873188702;30
"2";10102;"L_7m_ROI";2;-0,00043030996295063;-5,753;-62,2126;30,5207;"L";"First";1,01028982161048;0,00960084668429907;1;2412,43852420858;39
"3";10103;"L_7m_ROI";1;-0,000424735738167052;-6,00486;-63,495;30,4708;"L";"First";1,01020075947666;-0,0207508561266676;0;2456,85652528568;7
"4";10104;"L_7m_ROI";1;-0,000419121635764736;-6,26322;-64,7496;30,4452;"L";"First";1,01014109929318;-0,0240928665799504;0;2467,68874946916;2
"5";10105;"L_7m_ROI";1;-0,000412946344744679;-6,52723;-65,9755;30,4437;"L";"First";1,01010877585656;-0,0261111427982518;0;2430,76566271727;6
"6";10106;"L_7m_ROI";1;-0,000406120548639446;-6,79558;-67,172;30,4658;"L";"First";1,01007845467929;-0,011315370579833;0;2383,03081498304;3
"7";11205;"L_7m_ROI";1;-0,000399297296424342;-8,03953;-68,7946;48,0335;"L";"First";1,01003691785954;0,00858382299756655;1;2504,58143547836;31
"8";11235;"L_7m_ROI";1;-0,000391838288638679;-7,86782;-68,9185;46,9301;"L";"First";1,01001536129613;0,0113628788716813;1;2535,71784429567;20
"9";11264;"L_7m_ROI";1;-0,000384401843456605;-7,72029;-69,0267;45,8138;"L";"First";1,00997453783779;0,00232305748319264;1;2430,8527077529;13
"10";11265;"L_7m_ROI";1;-0,000375778151351248;-7,58205;-67,9177;46,7704;"L";"First";1,00993953729746;0,00400433232633928;1;2455,67960717764;27
"11";11266;"L_7m_ROI";2;-0,000370521511290212;-7,47071;-66,8001;47,7119;"L";"First";1,00991112803001;0,00864114888114774;1;2457,88067243512;5
"12";11267;"L_7m_ROI";1;-0,000365628442789245;-7,38782;-65,6766;48,6385;"L";"First";1,00987046132482;-0,00337517643635088;0;2439,03163093072;1
"13";11292;"L_7m_ROI";1;-0,000360796496919027;-7,59514;-69,1183;44,6853;"L";"First";1,00982586234774;-0,0105008734873869;0;2418,91522892066;10
"14";11293;"L_7m_ROI";1;-0,000352623124297687;-7,4478;-68,0153;45,6553;"L";"First";1,00978200250024;-0,00943938398914333;0;2354,05613819289;494
"15";11294;"L_7m_ROI";1;-0,000346141089527275;-7,32701;-66,9013;46,6104;"L";"First";1,00976808676544;-0,00126308221212926;0;2450,86118000039;4
"16";11295;"L_7m_ROI";2;-0,000338869267997445;-7,23455;-65,7793;47,5507;"L";"First";1,00974375354684;0,0048289295315151;1;2410,97166028164;2
"17";11296;"L_7m_ROI";1;-0,000331193575312443;-7,17135;-64,6523;48,476;"L";"First";1,00971108070043;-0,0128745067473073;0;2429,23654079882;3
"18";11297;"L_7m_ROI";1;-0,000323733554794594;-7,1376;-63,5229;49,3857;"L";"First";1,0097043905473;-0,0136172518479928;0;2380,49895072558;7
"19";11298;"L_7m_ROI";1;-0,000316579521321718;-7,13284;-62,3934;50,2792;"L";"First";1,00968714647845;-0,00341743448967106;0;2386,14863020829;2
"20";11319;"L_7m_ROI";1;-0,000310020731998231;-7,49046;-69,1922;43,5451;"L";"First";1,00967064923577;-0,0321713775996508;0;2397,75937378399;7
"21";11320;"L_7m_ROI";1;-0,000303790435880922;-7,33438;-68,0967;44,529;"L";"First";1,00966426800942;-0,0206938945746935;0;2359,93143017053;66
"22";11321;"L_7m_ROI";1;-0,000295391911414014;-7,20444;-66,9877;45,4982;"L";"First";1,0096473072894;-0,00445995705166946;0;2397,47304232385;85
"23";11322;"L_7m_ROI";1;-0,000287800441447588;-7,10263;-65,8683;46,4526;"L";"First";1,00960466434559;0,00130218410031971;1;2483,79145233988;3
"24";11323;"L_7m_ROI";1;-0,00028037162871738;-7,03009;-64,7418;47,3921;"L";"First";1,00958908758525;-0,00231539056941919;0;2377,82413527218;1
"25";11324;"L_7m_ROI";1;-0,000272437975080471;-6,98717;-63,6109;48,316;"L";"First";1,00956951012988;-0,00191682871698035;0;2414,13653243248;1
"26";11325;"L_7m_ROI";1;-0,000265662771481965;-6,97357;-62,4784;49,2236;"L";"First";1,00955730517391;0,00165253206115092;1;2388,40755579184;1
"27";11345;"L_7m_ROI";1;-0,000258908075746717;-7,40422;-69,2473;42,3938;"L";"First";1,00952440177638;-0,0315085374524519;0;2349,10416143358;24
"28";11346;"L_7m_ROI";1;-0,000251569890415968;-7,23973;-68,1607;43,3921;"L";"First";1,00951099401558;-0,0251760648033543;0;2408,1811978281;6
"29";11347;"L_7m_ROI";1;-0,000244320667423402;-7,10096;-67,058;44,3758;"L";"First";1,00948491307497;-0,000759268104766958;0;2441,42361550428;236
"30";11348;"L_7m_ROI";1;-0,000237790051347632;-6,99006;-65,9426;45,3448;"L";"First";1,009472773991;0,00862917629439215;1;2509,82041504029;8
"31";11349;"L_7m_ROI";2;-0,000231057642896709;-6,90834;-64,8177;46,2989;"L";"First";1,00943599255094;0,0258605754977571;1;2518,25714093487;4
"32";11350;"L_7m_ROI";1;-0,000224698586520249;-6,85631;-63,6864;47,2375;"L";"First";1,00941424633092;-0,00306386072233815;0;2455,56191798578;5
"33";11351;"L_7m_ROI";1;-0,000218107374224923;-6,83382;-62,5516;48,1596;"L";"First";1,00939992461852;-0,0028713416727538;0;2452,26148034626;1
"34";11352;"L_7m_ROI";1;-0,000212130287819619;-6,84013;-61,4157;49,0644;"L";"First";1,00937021551483;-0,0217843893931394;0;2432,61762320529;3
"35";11370;"L_7m_ROI";1;-0,000205239130413862;-7,33427;-69,282;41,2323;"L";"First";1,00935149170596;-0,0165384842766416;0;2272,99848969074;26
"36";11371;"L_7m_ROI";1;-0,000198189943888699;-7,16173;-68,2058;42,2451;"L";"First";1,0093441365481;-0,027038024491345;0;2337,69792194607;5
"37";11372;"L_7m_ROI";1;-0,000191997537931445;-7,01442;-67,111;43,2437;"L";"First";1,00933613950987;-7,04997205246183e-05;0;2450,79511887767;81
"38";11373;"L_7m_ROI";1;-0,000185350914357876;-6,8947;-66,0009;44,2278;"L";"First";1,0093089592276;0,0102825137284534;1;2475,02383044071;33
"39";11374;"L_7m_ROI";2;-0,000179169779083709;-6,804;-64,8789;45,197;"L";"First";1,0093018389956;0,0318094173617953;1;2541,63841009312;19
"40";11375;"L_7m_ROI";2;-0,000171842609386668;-6,74297;-63,7483;46,1506;"L";"First";1,00928534424599;0,0190522672445891;1;2460,808415515;11
"41";11376;"L_7m_ROI";1;-0,000166127477897657;-6,71157;-62,612;47,0878;"L";"First";1,00927988449796;-0,0113829850302195;0;2460,34657201621;5
"42";11377;"L_7m_ROI";1;-0,000159850729334931;-6,70921;-61,4729;48,0073;"L";"First";1,0092626056086;-0,0216116462274707;0;2452,14075248641;4
