"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary"
"1";10101;"L_7m_ROI";3;-0,000180294200253222;-5,50805;-60,904;30,594;"L";1,0059825415157;-0,0105637533726627;0
"2";10102;"L_7m_ROI";3;-0,000179574480485795;-5,753;-62,2126;30,5207;"L";1,00578011732413;-0,00390321101567465;0
"3";10103;"L_7m_ROI";3;-0,000178626697839627;-6,00486;-63,495;30,4708;"L";1,00572569876326;-0,00294410008409085;0
"4";10104;"L_7m_ROI";3;-0,000177998533961614;-6,26322;-64,7496;30,4452;"L";1,00570053724515;-0,00407038334876308;0
"5";10105;"L_7m_ROI";3;-0,00017737657337721;-6,52723;-65,9755;30,4437;"L";1,00567994774284;-0,00336571228348997;0
"6";10106;"L_7m_ROI";1;-0,000176757168432468;-6,79558;-67,172;30,4658;"L";1,00566121322218;0,000822407208406331;1
"7";11205;"L_7m_ROI";3;-0,000176146784918348;-8,03953;-68,7946;48,0335;"L";1,00564599922099;-0,00821551825975651;0
"8";11235;"L_7m_ROI";3;-0,000175409401885142;-7,86782;-68,9185;46,9301;"L";1,00563085425632;-0,0140852468699753;0
"9";11264;"L_7m_ROI";3;-0,00017469247523026;-7,72029;-69,0267;45,8138;"L";1,00561220202178;-0,012069398410435;0
"10";11265;"L_7m_ROI";3;-0,000173755475871075;-7,58205;-67,9177;46,7704;"L";1,00560813951811;-0,012082726794532;0
"11";11266;"L_7m_ROI";3;-0,000172761840444036;-7,47071;-66,8001;47,7119;"L";1,00559428443754;-0,00526469544502928;0
"12";11267;"L_7m_ROI";3;-0,000171429233686098;-7,38782;-65,6766;48,6385;"L";1,00558631769788;-0,00122457761291227;0
"13";11292;"L_7m_ROI";3;-0,000170068010127416;-7,59514;-69,1183;44,6853;"L";1,00555739485461;-0,00961844955734648;0
"14";11293;"L_7m_ROI";3;-0,000168629289527104;-7,4478;-68,0153;45,6553;"L";1,00555564098504;-0,0140258746124568;0
"15";11294;"L_7m_ROI";3;-0,0001671785217356;-7,32701;-66,9013;46,6104;"L";1,00554558497512;-0,0137184140288389;0
"16";11295;"L_7m_ROI";3;-0,000165512253872271;-7,23455;-65,7793;47,5507;"L";1,00553450592122;-0,00586959420093289;0
"17";11296;"L_7m_ROI";3;-0,000163805488249811;-7,17135;-64,6523;48,476;"L";1,00552823243921;-0,00363181578462056;0
"18";11297;"L_7m_ROI";3;-0,000162090733168269;-7,1376;-63,5229;49,3857;"L";1,00552221969468;-0,00120043666223129;0
"19";11298;"L_7m_ROI";3;-0,000160197570242439;-7,13284;-62,3934;50,2792;"L";1,00550237023475;-0,00235499994597609;0
"20";11319;"L_7m_ROI";3;-0,000158216122688379;-7,49046;-69,1922;43,5451;"L";1,00549535110207;-0,00520155333025554;0
"21";11320;"L_7m_ROI";3;-0,000156059521970023;-7,33438;-68,0967;44,529;"L";1,00548225801388;-0,015092110746813;0
"22";11321;"L_7m_ROI";3;-0,000153768222781774;-7,20444;-66,9877;45,4982;"L";1,00547091211159;-0,0192025845262831;0
"23";11322;"L_7m_ROI";3;-0,00015116114848934;-7,10263;-65,8683;46,4526;"L";1,00546690919484;-0,0184525038214174;0
"24";11323;"L_7m_ROI";3;-0,000148487216985679;-7,03009;-64,7418;47,3921;"L";1,00546388575941;-0,0071050245537826;0
"25";11324;"L_7m_ROI";3;-0,00014599638540705;-6,98717;-63,6109;48,316;"L";1,005449997448;-0,00522142889303472;0
"26";11325;"L_7m_ROI";3;-0,00014342078647162;-6,97357;-62,4784;49,2236;"L";1,00543934402488;-0,00366820170496268;0
