"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"1";10101;"L_7m_ROI";3;-0,00043851649431295;-5,50805;-60,904;30,594;"L";1,02249887725067;-0,0147887072928281;0;2445,82552692467;39
"2";10102;"L_7m_ROI";3;-0,000433650777227428;-5,753;-62,2126;30,5207;"L";1,02210417368387;-0,00481920519216238;0;2353,50097319565;80
"3";10103;"L_7m_ROI";3;-0,000427011643209385;-6,00486;-63,495;30,4708;"L";1,02188771612631;-0,00385068770152436;0;2318,42644280493;193
"4";10104;"L_7m_ROI";3;-0,00042221277817624;-6,26322;-64,7496;30,4452;"L";1,02154837495051;-0,00583316593069738;0;2349,76037053254;651
"5";10105;"L_7m_ROI";3;-0,000417593568942965;-6,52723;-65,9755;30,4437;"L";1,02150901281623;-0,00794584799895859;0;2353,90322200529;456
"6";10106;"L_7m_ROI";3;-0,000413205224283939;-6,79558;-67,172;30,4658;"L";1,02141894852608;0,00023909096110164;1;2338,97112969141;34
"7";11205;"L_7m_ROI";3;-0,000409542493897291;-8,03953;-68,7946;48,0335;"L";1,02134936944091;-0,00756791940831056;0;2367,46750821455;77
"8";11235;"L_7m_ROI";3;-0,000404895346913897;-7,86782;-68,9185;46,9301;"L";1,02127319644091;-0,012398228152456;0;2391,72340492456;380
"9";11264;"L_7m_ROI";3;-0,000399292923288198;-7,72029;-69,0267;45,8138;"L";1,02123640364065;-0,0122694819552745;0;2361,48245724503;65
"10";11265;"L_7m_ROI";3;-0,000392904475849738;-7,58205;-67,9177;46,7704;"L";1,02120901621627;-0,0119092135807577;0;2327,1825777265;516
"11";11266;"L_7m_ROI";2;-0,00038773165785036;-7,47071;-66,8001;47,7119;"L";1,02104395524547;0,00057224092485759;1;2345,77216245614;247
"12";11267;"L_7m_ROI";2;-0,000384073371069687;-7,38782;-65,6766;48,6385;"L";1,02091515410467;0,00544140328799698;1;2334,40868794155;41
"13";11292;"L_7m_ROI";3;-0,000380616881175835;-7,59514;-69,1183;44,6853;"L";1,02090464384419;-0,00793644992477507;0;2404,26577796456;9
"14";11293;"L_7m_ROI";3;-0,000377379559600313;-7,4478;-68,0153;45,6553;"L";1,02084037276466;-0,0110190154877766;0;2388,96216286013;987
"15";11294;"L_7m_ROI";3;-0,000372854201888706;-7,32701;-66,9013;46,6104;"L";1,02079309380171;-0,0135454789734059;0;2399,06757187014;69
"16";11295;"L_7m_ROI";2;-0,000369280823107116;-7,23455;-65,7793;47,5507;"L";1,02077257713136;-0,0019571378147309;0;2333,78719217982;50
"17";11296;"L_7m_ROI";3;-0,000365669408201683;-7,17135;-64,6523;48,476;"L";1,02069863364432;-0,00287810173398357;0;2309,71491472596;102
"18";11297;"L_7m_ROI";3;-0,000362470082761047;-7,1376;-63,5229;49,3857;"L";1,02062619356393;-0,00823131260836267;0;2173,16062753275;490
"19";11298;"L_7m_ROI";3;-0,000358838870364371;-7,13284;-62,3934;50,2792;"L";1,02054958819447;-0,0123422108491011;0;2100,01508848685;126
"20";11319;"L_7m_ROI";3;-0,000355090087815162;-7,49046;-69,1922;43,5451;"L";1,02050357974341;-0,0277139847728532;0;2022,89486498214;73
"21";11320;"L_7m_ROI";3;-0,000349068910748496;-7,33438;-68,0967;44,529;"L";1,02047924320571;-0,0329098161202972;0;2108,84600266121;130
"22";11321;"L_7m_ROI";3;-0,000342428758256574;-7,20444;-66,9877;45,4982;"L";1,02041002973169;-0,0379192737162048;0;2197,23828701038;351
"23";11322;"L_7m_ROI";3;-0,000336990434857646;-7,10263;-65,8683;46,4526;"L";1,02034867225102;-0,0442953819120612;0;2170,6795189328;128
"24";11323;"L_7m_ROI";3;-0,000329604439478569;-7,03009;-64,7418;47,3921;"L";1,02031872102951;-0,0227788599359573;0;1982,71137302289;40
