"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"1";18091;"L_10pp_ROI";1;-0,000498664622583305;-21,3471;64,3698;-7,52319;"L";1,02688926563104;0,00061053441614284;1;1680,82613965219;290
"2";18092;"L_10pp_ROI";1;-0,000491837768756683;-20,3261;63,9185;-7,92378;"L";1,02681382132103;0,00398030173553022;1;1743,3093522232;132
"3";18093;"L_10pp_ROI";1;-0,000482483994033558;-19,3318;63,3983;-8,3038;"L";1,02650165473483;0,000874844236866986;1;1700,60153203307;68
"4";18094;"L_10pp_ROI";1;-0,000475700471007151;-18,3693;62,8103;-8,66403;"L";1,02632518661091;0,00966208550904065;1;1612,76566638581;24
"5";18095;"L_10pp_ROI";1;-0,00046919585456436;-17,4428;62,1558;-9,00531;"L";1,02606365063174;0,0157287895288156;1;1601,73997959772;73
"6";18096;"L_10pp_ROI";1;-0,000463013655381343;-16,5561;61,4366;-9,32839;"L";1,02601868643953;0,00461973791002408;1;1658,95803951404;113
"7";18954;"L_10pp_ROI";1;-0,000457845904782848;-22,9939;63,1419;-10,4541;"L";1,02591349622388;0,00269704883188526;1;1542,81156689302;692
"8";18955;"L_10pp_ROI";1;-0,000452689140146316;-22,8477;62,3794;-11,6357;"L";1,02583594829951;-0,00383634212586122;0;1518,09236681765;961
"9";18956;"L_10pp_ROI";2;-0,000446155263858995;-22,7043;61,5581;-12,7735;"L";1,02569217158141;-0,0125935834881166;0;1515,51454239364;434
"10";18957;"L_10pp_ROI";2;-0,000438268377867901;-22,5641;60,6792;-13,8669;"L";1,0256502325838;-0,012801509884208;0;1551,34536985214;712
"11";18958;"L_10pp_ROI";2;-0,000429293474739195;-22,427;59,7444;-14,9153;"L";1,0255663718329;-0,0140395187824343;0;1580,82195328862;66
"12";18987;"L_10pp_ROI";1;-0,000421957804396729;-22,2274;64,1315;-8,39997;"L";1,02547198465833;0,00327310132228648;1;1623,84861576618;596
"13";18988;"L_10pp_ROI";1;-0,000417025145590645;-22,069;63,4493;-9,6587;"L";1,02541203625189;0,00033375662897063;1;1563,15341701618;119
