"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary"
"1";56;"L_V1_ROI";2;-0,000276770764295639;-11,9477;-64,0341;-4,15323;"L";1,01342922785442;-0,00561601942160645;0
"2";57;"L_V1_ROI";2;-0,000272876806990425;-12,0708;-64,0617;-4,92879;"L";1,01308663118331;-0,0072006158230068;0
"3";58;"L_V1_ROI";2;-0,000270495850789199;-12,1863;-64,0593;-5,70137;"L";1,01287876332078;-0,0122641495353291;0
"4";59;"L_V1_ROI";2;-0,000267015182138981;-12,3044;-64,0313;-6,47309;"L";1,01275970617204;-0,0142868917012615;0
"5";60;"L_V1_ROI";2;-0,000264219103702896;-12,4357;-63,9827;-7,24553;"L";1,01269456721318;-0,00697138243474416;0
"6";61;"L_V1_ROI";2;-0,000261035183052258;-12,5908;-63,9186;-8,01942;"L";1,01260467738108;-0,00845920563724389;0
"7";62;"L_V1_ROI";2;-0,000257388676293913;-12,7796;-63,8439;-8,79447;"L";1,01257931231273;-0,00958749598971306;0
"8";63;"L_V1_ROI";2;-0,000253255985889746;-13,0105;-63,7627;-9,56938;"L";1,01247787981925;-0,00326366017395682;0
"9";64;"L_V1_ROI";2;-0,000248928541876933;-13,2899;-63,6774;-10,342;"L";1,01245059088854;-0,0157649080140089;0
"10";65;"L_V1_ROI";2;-0,000244124870504464;-13,6224;-63,5889;-11,1097;"L";1,0124317192358;-0,0149087660977334;0
"11";396;"L_V1_ROI";2;-0,000239214240885051;-12,0793;-62,669;-5,59241;"L";1,012390287681;-0,0133421367740021;0
"12";414;"L_V1_ROI";2;-0,000234966957891967;-12,2331;-62,6575;-6,37783;"L";1,01237432149552;-0,0145191518970282;0
"13";415;"L_V1_ROI";2;-0,000230101802567422;-12,3026;-61,2539;-7,04875;"L";1,01233983328503;-0,0163831318341459;0
"14";432;"L_V1_ROI";2;-0,000225308677644633;-12,3929;-62,6239;-7,16247;"L";1,01231239509686;-0,00889374430996036;0
"15";433;"L_V1_ROI";2;-0,000219999584056316;-12,5062;-61,2169;-7,84749;"L";1,01230528226051;-0,0154894283264239;0
"16";434;"L_V1_ROI";2;-0,000215033519144319;-12,6489;-59,8171;-8,52821;"L";1,01226385271276;-0,013169606730879;0
"17";449;"L_V1_ROI";3;-0,000209452205519895;-12,5686;-62,5727;-7,94722;"L";1,01220431350839;0,00156647831556475;1
"18";450;"L_V1_ROI";2;-0,000204238758000809;-12,7277;-61,1648;-8,6455;"L";1,0121888414485;-0,0102595559967875;0
"19";451;"L_V1_ROI";2;-0,000199090755812791;-12,917;-59,7651;-9,34019;"L";1,01217313280782;-0,0148379189315947;0
"20";465;"L_V1_ROI";3;-0,000193819705816512;-12,7699;-62,5086;-8,73212;"L";1,01212522312811;0,00509798818139207;1
"21";466;"L_V1_ROI";2;-0,000188442623849396;-12,9759;-61,1016;-9,44224;"L";1,01209339522556;-0,00724751972200995;0
"22";467;"L_V1_ROI";2;-0,000182936080082993;-13,212;-59,7028;-10,1494;"L";1,0120688177901;-0,0183702046540277;0
"23";468;"L_V1_ROI";2;-0,000177227904205903;-13,4812;-58,3165;-10,8539;"L";1,01204910344843;-0,0085570337907683;0
"24";480;"L_V1_ROI";3;-0,000171313661182997;-13,0054;-62,4358;-9,51632;"L";1,01203963023608;0,00734607834800676;1
"25";481;"L_V1_ROI";3;-0,000165182394524794;-13,2582;-61,0305;-10,2364;"L";1,01202095766055;-0,000308641440707379;0
"26";482;"L_V1_ROI";2;-0,000158928069872006;-13,5406;-59,6328;-10,9543;"L";1,01200871349333;-0,019698804132724;0
"27";494;"L_V1_ROI";3;-0,000151688471821058;-13,2824;-62,3571;-10,2981;"L";1,01198387213475;0,009355722474461;1
"28";495;"L_V1_ROI";2;-0,000144655111482755;-13,5809;-60,9535;-11,0261;"L";1,01194820935634;-0,00705007673788392;0
"29";507;"L_V1_ROI";2;-0,000136475503223673;-13,6064;-62,2741;-11,0753;"L";1,01193845060253;-0,0167446221793343;0
"30";21354;"L_V1_ROI";3;-0,000128532763149897;-14,7476;-99,1779;4,78781;"L";1,01192104757078;0,00905510789139721;1
"31";21355;"L_V1_ROI";3;-0,00012022352841986;-14,4964;-98,865;3,77737;"L";1,01189291274265;0,010035081312262;1
"32";21356;"L_V1_ROI";3;-0,000111346522278884;-14,2675;-98,5209;2,77961;"L";1,0118824487447;0,0113426521810031;1
"33";21357;"L_V1_ROI";3;-0,000102639190049426;-14,0586;-98,1454;1,79893;"L";1,01184649589854;0,0114505719159183;1
"34";21358;"L_V1_ROI";3;-9,36461990649788e-05;-13,8672;-97,7381;0,839645;"L";1,01184556274965;0,0107210522921608;1
"35";21359;"L_V1_ROI";3;-8,46731265604873e-05;-13,6906;-97,2985;-0,0941245;"L";1,01181319855787;0,00577532390552938;1
"36";21360;"L_V1_ROI";3;-7,54817802882067e-05;-13,5266;-96,8261;-0,99847;"L";1,0117971298374;0,00110018027342609;1
"37";21361;"L_V1_ROI";3;-6,59097367549026e-05;-13,3732;-96,3207;-1,86983;"L";1,01178867205907;0,0145241605975986;1
"38";21362;"L_V1_ROI";3;-5,62977517361435e-05;-13,2288;-95,7817;-2,70503;"L";1,0117707113305;0,0143914972081414;1
"39";21363;"L_V1_ROI";3;-4,63739042486446e-05;-13,0926;-95,209;-3,50139;"L";1,01175448575984;0,0113431822137425;1
"40";21364;"L_V1_ROI";3;-3,58810448355949e-05;-12,9644;-94,6028;-4,2568;"L";1,01175162907431;0,0091899241169782;1
"41";21365;"L_V1_ROI";3;-2,53572728440413e-05;-12,8449;-93,9632;-4,96977;"L";1,01172341474092;0,0138946181214747;1
"42";21366;"L_V1_ROI";3;-1,40307356874661e-05;-12,7354;-93,2911;-5,63954;"L";1,01171818979274;0,0153449996869627;1
"43";21367;"L_V1_ROI";3;-2,78880966849993e-06;-12,6382;-92,5873;-6,26608;"L";1,01170852554606;0,0128378984651468;1
"44";21368;"L_V1_ROI";3;8,52369820255431e-06;-12,5562;-91,8531;-6,85017;"L";1,01167000322241;0,0109963880337912;1
"45";21369;"L_V1_ROI";3;2,01592182808298e-05;-12,4926;-91,09;-7,39332;"L";1,01163899751621;0,00922591063483292;1
"46";21370;"L_V1_ROI";3;3,1654303061092e-05;-12,4513;-90,2998;-7,89786;"L";1,0116244629022;0,0156711313922442;1
"47";21371;"L_V1_ROI";3;4,32179329041719e-05;-12,4359;-89,4844;-8,36683;"L";1,01160839419225;0,00677867969077765;1
"48";21372;"L_V1_ROI";3;5,54973553099653e-05;-12,4502;-88,6454;-8,8039;"L";1,01159000485296;0,0132573279148895;1
"49";21373;"L_V1_ROI";3;6,84636520843555e-05;-12,4974;-87,7846;-9,21336;"L";1,01157032856534;0,0116132847456273;1
"50";21889;"L_V1_ROI";3;8,17032440017671e-05;-26,369;-101,192;-4,25924;"L";1,01156891725667;0,0404124346630492;1
"51";21890;"L_V1_ROI";3;9,50793198751914e-05;-25,3615;-101,477;-3,34459;"L";1,01154536028227;0,0352930759882622;1
"52";21933;"L_V1_ROI";3;0,000108679674843233;-27,1518;-100,521;-6,19698;"L";1,01153345270428;0,0431929864498547;1
"53";21934;"L_V1_ROI";3;0,00012233584096786;-26,1185;-100,894;-5,34365;"L";1,01152000070152;0,0450439310214915;1
"54";21935;"L_V1_ROI";3;0,000136294217417297;-25,1028;-101,196;-4,43161;"L";1,01150630342863;0,0408551067554183;1
"55";21936;"L_V1_ROI";3;0,000150645047378785;-24,1075;-101,427;-3,46201;"L";1,01148248175406;0,0385563487801448;1
"56";21937;"L_V1_ROI";3;0,000164699074988718;-23,1358;-101,587;-2,43654;"L";1,01145953356344;0,0361438269607358;1
"57";21938;"L_V1_ROI";3;0,000179275909820357;-22,1906;-101,677;-1,3574;"L";1,01142688261939;0,0353892933714314;1
"58";21939;"L_V1_ROI";3;0,000193360954594735;-21,2752;-101,697;-0,227133;"L";1,01141103014967;0,0307234167438436;1
"59";21940;"L_V1_ROI";3;0,000207631772634154;-20,393;-101,649;0,951396;"L";1,01140006585593;0,0260286208660968;1
"60";21976;"L_V1_ROI";3;0,00022204771043233;-27,9725;-99,6938;-8,03133;"L";1,01139547240534;0,0329887013277711;1
"61";21977;"L_V1_ROI";3;0,000236563233577996;-26,9158;-100,156;-7,24507;"L";1,01138486874425;0,0386890261228097;1
"62";21978;"L_V1_ROI";3;0,000251155061851101;-25,8746;-100,547;-6,39832;"L";1,01136601285696;0,0438518320917306;1
"63";21979;"L_V1_ROI";3;0,000265947844361691;-24,8518;-100,866;-5,49146;"L";1,01133785774469;0,0428756825963001;1
"64";21980;"L_V1_ROI";3;0,000280922781462821;-23,8499;-101,114;-4,52555;"L";1,01133082553839;0,0412960279201901;1
"65";21981;"L_V1_ROI";3;0,000296157893948337;-22,8718;-101,291;-3,50219;"L";1,01132288086631;0,0365583720390897;1
"66";21982;"L_V1_ROI";3;0,000311154028139307;-21,9203;-101,396;-2,42349;"L";1,01131728929168;0,0321286417597912;1
"67";21983;"L_V1_ROI";3;0,00032656484877573;-20,9981;-101,432;-1,29199;"L";1,01130094403285;0,0329085950756357;1
"68";21984;"L_V1_ROI";3;0,000342095609976049;-20,1086;-101,399;-0,110572;"L";1,01127736168421;0,0252717232337033;1
"69";21985;"L_V1_ROI";3;0,00035774658809015;-19,2549;-101,3;1,11769;"L";1,01127541140413;0,0144406071295419;1
"70";21986;"L_V1_ROI";3;0,000373398025715437;-18,4405;-101,137;2,38963;"L";1,01125934811846;0,0074847449938175;1
"71";22018;"L_V1_ROI";3;0,00038920001000165;-28,8292;-98,7049;-9,74942;"L";1,01125280887175;0,0307995788800454;1
"72";22019;"L_V1_ROI";3;0,000405014144528286;-27,7504;-99,2581;-9,03405;"L";1,0112238268202;0,0282619530546676;1
"73";22020;"L_V1_ROI";3;0,000420774458434761;-26,6853;-99,7397;-8,25761;"L";1,01120738864373;0,030510369227288;1
"74";22021;"L_V1_ROI";3;0,000436719577328584;-25,6368;-100,15;-7,41968;"L";1,01120242733623;0,0393601901975583;1
"75";22022;"L_V1_ROI";3;0,000452702095085075;-24,6077;-100,487;-6,52052;"L";1,01117726911468;0,0411207640828246;1
"76";22023;"L_V1_ROI";3;0,000468715627271657;-23,6003;-100,753;-5,56101;"L";1,01116106490356;0,0432820659868258;1
"77";22024;"L_V1_ROI";3;0,000484805060726789;-22,6172;-100,948;-4,54266;"L";1,01115872035555;0,0388987953581958;1
