"Label","Counts"
"R_V1_ROI",7
"R_MST_ROI",1
"R_V6_ROI",5
"R_V2_ROI",7
"R_V3_ROI",8
"R_V4_ROI",7
"R_V8_ROI",3
"R_4_ROI",5
"R_3b_ROI",5
"R_FEF_ROI",4
"R_PEF_ROI",2
"R_55b_ROI",1
"R_V3A_ROI",2
"R_RSC_ROI",9
"R_POS2_ROI",5
"R_V7_ROI",2
"R_IPS1_ROI",5
"R_FFC_ROI",3
"R_V3B_ROI",2
"R_LO1_ROI",2
"R_LO2_ROI",1
"R_PIT_ROI",2
"R_MT_ROI",1
"R_A1_ROI",3
"R_PSL_ROI",5
"R_SFL_ROI",1
"R_PCV_ROI",2
"R_STV_ROI",2
"R_7Pm_ROI",0
"R_7m_ROI",2
"R_POS1_ROI",4
"R_23d_ROI",8
"R_v23ab_ROI",6
"R_d23ab_ROI",9
"R_31pv_ROI",8
"R_5m_ROI",2
"R_5mv_ROI",5
"R_23c_ROI",6
"R_5L_ROI",2
"R_24dd_ROI",3
"R_24dv_ROI",3
"R_7AL_ROI",2
"R_SCEF_ROI",0
"R_6ma_ROI",2
"R_7Am_ROI",1
"R_7PL_ROI",3
"R_7PC_ROI",2
"R_LIPv_ROI",1
"R_VIP_ROI",0
"R_MIP_ROI",5
"R_1_ROI",2
"R_2_ROI",4
"R_3a_ROI",5
"R_6d_ROI",2
"R_6mp_ROI",1
"R_6v_ROI",3
"R_p24pr_ROI",5
"R_33pr_ROI",4
"R_a24pr_ROI",6
"R_p32pr_ROI",2
"R_a24_ROI",17
"R_d32_ROI",11
"R_8BM_ROI",3
"R_p32_ROI",11
"R_10r_ROI",13
"R_47m_ROI",4
"R_8Av_ROI",2
"R_8Ad_ROI",5
"R_9m_ROI",13
"R_8BL_ROI",4
"R_9p_ROI",4
"R_10d_ROI",7
"R_8C_ROI",2
"R_44_ROI",5
"R_45_ROI",5
"R_47l_ROI",4
"R_a47r_ROI",5
"R_6r_ROI",7
"R_IFJa_ROI",2
"R_IFJp_ROI",2
"R_IFSp_ROI",3
"R_IFSa_ROI",4
