"Label","Counts"
"R_V1_ROI",26
"R_MST_ROI",11
"R_V6_ROI",15
"R_V2_ROI",36
"R_V3_ROI",23
"R_V4_ROI",13
"R_V8_ROI",3
"R_4_ROI",20
"R_3b_ROI",18
"R_FEF_ROI",6
"R_PEF_ROI",4
"R_55b_ROI",3
"R_V3A_ROI",6
"R_RSC_ROI",24
"R_POS2_ROI",22
"R_V7_ROI",9
"R_IPS1_ROI",8
"R_FFC_ROI",6
"R_V3B_ROI",7
"R_LO1_ROI",7
"R_LO2_ROI",4
"R_PIT_ROI",5
"R_MT_ROI",14
"R_A1_ROI",14
"R_PSL_ROI",17
"R_SFL_ROI",2
"R_PCV_ROI",18
"R_STV_ROI",12
"R_7Pm_ROI",11
"R_7m_ROI",31
"R_POS1_ROI",33
"R_23d_ROI",22
"R_v23ab_ROI",28
"R_d23ab_ROI",25
"R_31pv_ROI",24
"R_5m_ROI",18
"R_5mv_ROI",21
"R_23c_ROI",25
"R_5L_ROI",11
"R_24dd_ROI",16
"R_24dv_ROI",6
"R_7AL_ROI",9
"R_SCEF_ROI",3
"R_6ma_ROI",5
"R_7Am_ROI",14
"R_7PL_ROI",9
"R_7PC_ROI",8
"R_LIPv_ROI",4
"R_VIP_ROI",6
"R_MIP_ROI",9
"R_1_ROI",14
"R_2_ROI",18
"R_3a_ROI",19
"R_6d_ROI",5
"R_6mp_ROI",6
"R_6v_ROI",4
"R_p24pr_ROI",10
"R_33pr_ROI",11
"R_a24pr_ROI",6
"R_p32pr_ROI",4
"R_a24_ROI",30
"R_d32_ROI",21
"R_8BM_ROI",10
"R_p32_ROI",27
"R_10r_ROI",32
"R_47m_ROI",7
"R_8Av_ROI",11
"R_8Ad_ROI",17
"R_9m_ROI",24
"R_8BL_ROI",15
"R_9p_ROI",12
"R_10d_ROI",16
"R_8C_ROI",12
"R_44_ROI",2
"R_45_ROI",1
"R_47l_ROI",6
"R_a47r_ROI",15
"R_6r_ROI",4
"R_IFJa_ROI",5
"R_IFJp_ROI",3
"R_IFSp_ROI",7
"R_IFSa_ROI",11
"R_p9-46v_ROI",7
"R_46_ROI",14
"R_a9-46v_ROI",12
"R_9-46d_ROI",11
"R_9a_ROI",9
"R_10v_ROI",31
"R_a10p_ROI",23
"R_10pp_ROI",23
"R_11l_ROI",15
"R_13l_ROI",6
"R_OFC_ROI",25
"R_47s_ROI",6
"R_LIPd_ROI",4
"R_6a_ROI",6
"R_i6-8_ROI",11
"R_s6-8_ROI",8
"R_43_ROI",13
"R_OP4_ROI",19
"R_OP1_ROI",14
"R_OP2-3_ROI",11
"R_52_ROI",10
"R_RI_ROI",9
"R_PFcm_ROI",14
"R_PoI2_ROI",15
"R_TA2_ROI",14
"R_FOP4_ROI",4
"R_MI_ROI",6
"R_Pir_ROI",11
"R_AVI_ROI",6
"R_AAIC_ROI",8
"R_FOP1_ROI",8
"R_FOP3_ROI",4
"R_FOP2_ROI",9
"R_PFt_ROI",19
"R_AIP_ROI",11
"R_EC_ROI",9
"R_PreS_ROI",8
"R_H_ROI",11
"R_ProS_ROI",8
"R_PeEc_ROI",9
"R_STGa_ROI",7
"R_PBelt_ROI",17
"R_A5_ROI",8
"R_PHA1_ROI",6
"R_PHA3_ROI",5
"R_STSda_ROI",13
"R_STSdp_ROI",13
"R_STSvp_ROI",6
"R_TGd_ROI",11
"R_TE1a_ROI",5
"R_TE1p_ROI",12
"R_TE2a_ROI",10
"R_TF_ROI",9
"R_TE2p_ROI",9
"R_PHT_ROI",10
"R_PH_ROI",9
"R_TPOJ1_ROI",13
"R_TPOJ2_ROI",15
"R_TPOJ3_ROI",12
"R_DVT_ROI",20
"R_PGp_ROI",21
"R_IP2_ROI",8
"R_IP1_ROI",9
"R_IP0_ROI",11
"R_PFop_ROI",18
"R_PF_ROI",24
"R_PFm_ROI",22
"R_PGi_ROI",25
"R_PGs_ROI",20
"R_V6A_ROI",7
"R_VMV1_ROI",7
"R_VMV3_ROI",4
"R_PHA2_ROI",5
"R_V4t_ROI",4
"R_FST_ROI",7
"R_V3CD_ROI",6
"R_LO3_ROI",15
"R_VMV2_ROI",6
"R_31pd_ROI",17
"R_31a_ROI",19
"R_VVC_ROI",6
"R_25_ROI",13
"R_s32_ROI",22
"R_pOFC_ROI",14
"R_PoI1_ROI",16
"R_Ig_ROI",6
"R_FOP5_ROI",3
"R_p10p_ROI",20
"R_p47r_ROI",13
"R_TGv_ROI",5
"R_MBelt_ROI",17
"R_LBelt_ROI",15
"R_A4_ROI",16
"R_STSva_ROI",11
"R_TE1m_ROI",7
"R_PI_ROI",16
"R_a32pr_ROI",13
"R_p24_ROI",22
"L_V1_ROI",23
"L_MST_ROI",9
"L_V6_ROI",18
"L_V2_ROI",32
"L_V3_ROI",28
"L_V4_ROI",18
"L_V8_ROI",4
"L_4_ROI",21
"L_3b_ROI",16
"L_FEF_ROI",4
"L_PEF_ROI",3
"L_55b_ROI",4
"L_V3A_ROI",10
"L_RSC_ROI",22
"L_POS2_ROI",22
"L_V7_ROI",10
"L_IPS1_ROI",9
"L_FFC_ROI",10
"L_V3B_ROI",8
"L_LO1_ROI",5
"L_LO2_ROI",5
"L_PIT_ROI",5
"L_MT_ROI",8
"L_A1_ROI",18
"L_PSL_ROI",12
"L_SFL_ROI",5
