"Label","x","y","z"
"R_V1_ROI",11.5491,-83.1736,1.39964
"R_MST_ROI",54.083,-73.396,1.13441
"R_V6_ROI",12.9289,-82.7572,32.4649
"R_V2_ROI",12.8295,-81.137,-6.04955
"R_V3_ROI",29.6284,-99.92,4.79977
"R_V4_ROI",36.3954,-91.4078,-12.1262
"R_V8_ROI",34.6923,-77.2024,-21.3038
"R_4_ROI",34.7148,-16.1394,72.2143
"R_3b_ROI",47.0606,-19.8243,63.1735
"R_FEF_ROI",46.0974,5.31453,60.5101
"R_PEF_ROI",54.9109,13.9545,41.9061
"R_55b_ROI",52.4298,9.08805,51.0785
"R_V3A_ROI",22.479,-94.5908,28.7691
"R_RSC_ROI",2.21983,-40.1476,25.7868
"R_POS2_ROI",10.999,-74.7364,41.2835
"R_V7_ROI",25.4456,-90.4326,36.4716
"R_IPS1_ROI",26.989,-84.5792,44.4358
"R_FFC_ROI",43.6373,-59.4595,-26.8917
"R_V3B_ROI",31.5046,-92.5847,29.0869
"R_LO1_ROI",43.994,-90.5506,2.57524
"R_LO2_ROI",44.9571,-86.4624,-7.59191
"R_PIT_ROI",41.5996,-84.8171,-14.6547
"R_MT_ROI",51.2534,-79.687,3.98399
"R_A1_ROI",55.2521,-18.6583,3.62105
"R_PSL_ROI",65.6807,-38.6014,25.111
"R_SFL_ROI",11.0238,22.193,62.4761
"R_PCV_ROI",7.75372,-54.8835,54.3246
"R_STV_ROI",64.0803,-44.684,19.5865
"R_7Pm_ROI",10.6503,-67.35,54.96
"R_7m_ROI",7.72306,-65.3151,40.6649
"R_POS1_ROI",9.14058,-63.0612,15.0204
"R_23d_ROI",2.65298,-24.2441,38.5114
"R_v23ab_ROI",5.61358,-56.7698,22.358
"R_d23ab_ROI",3.19493,-42.0742,33.1706
"R_31pv_ROI",4.41187,-48.5085,35.1196
"R_5m_ROI",8.76024,-35.3403,68.2431
"R_5mv_ROI",8.22788,-39.1911,58.3342
"R_23c_ROI",6.2486,-32.2964,48.2286
"R_5L_ROI",13.0886,-44.8421,72.2361
"R_24dd_ROI",6.5378,-12.6916,57.9469
"R_24dv_ROI",5.48169,2.11296,49.8577
"R_7AL_ROI",20.4358,-51.6751,72.943
"R_SCEF_ROI",7.49361,9.70639,60.5539
"R_6ma_ROI",15.6085,10.2145,70.2812
"R_7Am_ROI",12.5135,-58.8446,64.6355
"R_7PL_ROI",17.837,-71.7997,59.0052
"R_7PC_ROI",32.7263,-51.6105,69.193
"R_LIPv_ROI",31.6252,-64.1274,62.6232
"R_VIP_ROI",22.2529,-63.6514,66.5773
"R_MIP_ROI",27.4885,-75.9801,54.2949
"R_1_ROI",46.5537,-27.1185,65.2762
"R_2_ROI",42.7766,-36.5621,65.4743
"R_3a_ROI",45.1661,-16.8134,63.847
"R_6d_ROI",35.0095,-7.72449,71.1996
"R_6mp_ROI",15.4173,-9.74476,74.6888
"R_6v_ROI",61.2375,8.91548,30.2606
"R_p24pr_ROI",2.9735,-0.140771,40.181
"R_33pr_ROI",2.10513,12.5786,30.8917
"R_a24pr_ROI",3.53,19.6974,32.8651
"R_p32pr_ROI",5.61277,20.9864,42.917
"R_a24_ROI",5.34475,39.628,-0.222395
"R_d32_ROI",7.59332,45.6063,27.1128
"R_8BM_ROI",7.94204,33.6575,48.3305
"R_p32_ROI",8.20707,49.7414,-0.977086
"R_10r_ROI",9.35946,50.2808,-9.21838
"R_47m_ROI",33.6067,44.3736,-21.896
"R_8Av_ROI",41.6207,30.3134,52.7984
"R_8Ad_ROI",24.8163,41.2619,52.4932
"R_9m_ROI",9.77772,55.5384,19.4907
"R_8BL_ROI",13.1297,42.8029,49.899
"R_9p_ROI",19.3273,56.7856,36.8587
"R_10d_ROI",14.5949,63.9099,6.3469
"R_8C_ROI",47.0638,33.202,41.5634
"R_44_ROI",55.5926,30.7987,8.21848
"R_45_ROI",51.8548,41.8814,1.28693
"R_47l_ROI",43.7371,47.658,-13.7434
"R_a47r_ROI",37.864,59.5346,-10.576
"R_6r_ROI",59.5259,18.4077,17.3005
"R_IFJa_ROI",53.4912,31.0643,25.0642
"R_IFJp_ROI",53.9779,22.2877,33.5081
