"";"x";"y";"z";"Label";"Hemisphere"
"1";"-3.28442";"-46.0083";"32.2033";"L_d23ab_ROI";"L"
"2";"-19.7871";"-43.5968";"74.9115";"L_2_ROI";"L"
"3";"-53.1246";"1.17295";"48.9119";"L_55b_ROI";"L"
"4";"-10.013";"26.0399";"59.4416";"L_SFL_ROI";"L"
"5";"-21.1246";"-99.7944";"18.7942";"L_V3A_ROI";"L"
"6";"-55.9253";"-53.0052";"46.7325";"L_PFm_ROI";"L"
"7";"-40.6525";"60.6529";"4.25146";"L_a9-46v_ROI";"L"
"8";"-20.781";"-61.287";"-19.1979";"L_VMV1_ROI";"L"
"9";"-61.2742";"-50.0225";"-10.6775";"L_TE1p_ROI";"L"
"10";"-48.4443";"-18.0854";"10.1201";"L_OP2-3_ROI";"L"
"11";"-37.2042";"14.9355";"-36.3865";"L_TGd_ROI";"L"
"12";"-3.12163";"-45.1669";"31.8444";"L_d23ab_ROI";"L"
"13";"-2.94492";"-44.2161";"31.4448";"L_d23ab_ROI";"L"
"14";"-2.76381";"-43.2";"31.0252";"L_d23ab_ROI";"L"
"15";"-2.58259";"-42.1371";"30.5948";"L_d23ab_ROI";"L"
"16";"-2.40348";"-41.0369";"30.1583";"L_RSC_ROI";"L"
"17";"-2.22767";"-39.9048";"29.7185";"L_RSC_ROI";"L"
"18";"-2.05571";"-38.7449";"29.2772";"L_RSC_ROI";"L"
"19";"-1.88772";"-37.56";"28.8354";"L_RSC_ROI";"L"
"20";"-1.72352";"-36.3527";"28.3937";"L_RSC_ROI";"L"
"21";"-3.25359";"-46.5742";"31.4027";"L_d23ab_ROI";"L"
"22";"-3.23092";"-47.2042";"30.4971";"L_d23ab_ROI";"L"
"23";"-3.22059";"-47.8669";"29.5285";"L_d23ab_ROI";"L"
"24";"-3.22531";"-48.5483";"28.5152";"L_d23ab_ROI";"L"
"25";"-3.24737";"-49.2402";"27.4667";"L_d23ab_ROI";"L"
"26";"-3.28889";"-49.9372";"26.3896";"L_d23ab_ROI";"L"
"27";"-3.35199";"-50.6349";"25.2887";"L_d23ab_ROI";"L"
"28";"-3.43864";"-51.3301";"24.1682";"L_d23ab_ROI";"L"
"29";"-3.55069";"-52.0199";"23.0317";"L_v23ab_ROI";"L"
"30";"-3.68981";"-52.7021";"21.883";"L_v23ab_ROI";"L"
"31";"-3.85731";"-53.3751";"20.7255";"L_v23ab_ROI";"L"
"32";"-4.05417";"-54.0377";"19.5624";"L_v23ab_ROI";"L"
"33";"-4.28091";"-54.6887";"18.3971";"L_v23ab_ROI";"L"
"34";"-4.53758";"-55.3276";"17.2326";"L_v23ab_ROI";"L"
"35";"-4.82369";"-55.9537";"16.0721";"L_v23ab_ROI";"L"
"36";"-5.13814";"-56.5665";"14.9185";"L_v23ab_ROI";"L"
"37";"-5.4793";"-57.1656";"13.7748";"L_POS1_ROI";"L"
"38";"-5.84493";"-57.7503";"12.6435";"L_POS1_ROI";"L"
"39";"-6.2322";"-58.3198";"11.5273";"L_POS1_ROI";"L"
"40";"-6.63774";"-58.873";"10.4286";"L_POS1_ROI";"L"
"41";"-7.05761";"-59.4086";"9.3494";"L_POS1_ROI";"L"
"42";"-7.48745";"-59.9249";"8.29173";"L_POS1_ROI";"L"
"43";"-7.92242";"-60.4201";"7.2571";"L_POS1_ROI";"L"
"44";"-8.35739";"-60.8921";"6.2467";"L_POS1_ROI";"L"
"45";"-8.78703";"-61.3385";"5.26129";"L_POS1_ROI";"L"
"46";"-9.2059";"-61.7571";"4.30117";"L_POS1_ROI";"L"
"47";"-9.60867";"-62.1456";"3.36615";"L_ProS_ROI";"L"
"48";"-9.9903";"-62.5017";"2.45555";"L_ProS_ROI";"L"
"49";"-10.3462";"-62.8237";"1.56821";"L_ProS_ROI";"L"
"50";"-10.6726";"-63.1098";"0.702614";"L_ProS_ROI";"L"
"51";"-10.9665";"-63.3587";"-0.143128";"L_ProS_ROI";"L"
